,id,headline,about,url,modified_date,published_date,primary_tag,secondary_tag
736,p4za0j,Jose Mourinho poised to axe Manchester United stars,Manchester United manager Jose Mourinho will drop some of the high-profile players who gifted the English Premier League title to Manchester City.,https://theage.com.au//sport/soccer/jose-mourinho-poised-to-axe-manchester-united-stars-20180417-p4za0j.html,2018-04-16T23:00:51Z,2018-04-16T23:00:51Z,EPL,['FA Cup']
737,p4za0f,European leagues oppose revamped FIFA World Cup plan,Top European leagues will oppose FIFA plans to add more teams and playing days at the 2022 World Cup.,https://theage.com.au//sport/soccer/european-leagues-oppose-revamped-fifa-world-cup-plan-20180417-p4za0f.html,2018-04-16T22:48:59Z,2018-04-16T22:48:59Z,FIFA World Cup,['EPL']
738,p4za0c,Manchester City facing transfer ban,Pep Guardiola is hoping to add at least three more players to his squad this summer but Manchester City face an anxious wait to discover if they will be hit with a transfer ban.,https://theage.com.au//sport/soccer/manchester-city-facing-transfer-ban-20180417-p4za0c.html,2018-04-16T22:45:33Z,2018-04-16T22:45:33Z,EPL,[]
739,p4za06,Carroll salvages a key point in Stoke relegation battle,"West Ham substitute Carroll netted a late equaliser to snatch a draw at home to Stoke City, leaving the Londoners a step closer to safety and Stoke facing the drop.

",https://theage.com.au//sport/soccer/carroll-salvages-a-key-point-in-stoke-relegation-battle-20180417-p4za06.html,2018-04-16T22:00:50Z,2018-04-16T22:00:50Z,EPL,[]
740,p4z9u5,Meticulous attention to detail is Guardiola's recipe for City glory,"From the length of the grass (to the millimetre), to the shape of tables in the canteen, to changing the wifi password - Pep Guardiola doesn't leave a thing to chance.",https://theage.com.au//sport/soccer/meticulous-attention-to-detail-is-guardiola-s-recipe-for-city-glory-20180416-p4z9u5.html,2018-04-16T00:24:17Z,2018-04-16T00:24:17Z,EPL,[]
741,p4z9sx,Guardiola's City dynasty could rival Manchester United under Ferguson,Could Pep Guardiola's latest fabulous creation match the achievements of Alex Ferguson's iconic Manchester United era?,https://theage.com.au//sport/soccer/pep-guardiola-dynasty-could-rival-manchester-united-under-ferguson-20180416-p4z9sx.html,2018-04-15T18:18:15Z,2018-04-15T18:10:40Z,EPL,['Analysis']
742,p4z9st,Highlights: Shock Manchester United loss hands Premier League title to City,Manchester City were confirmed as Premier League champions on Sunday as Arsenal came up short against Newcastle.,https://theage.com.au//sport/soccer/highlights-shock-manchester-united-loss-hands-premier-league-title-to-city-20180416-p4z9st.html,2018-04-15T22:51:02Z,2018-04-15T15:27:08Z,EPL,[]
743,p4z9p9,City on verge of EPL title after Spurs win,Manchester City emerged from a trough of despair to beat Tottenham Hotspur 3-1 and take another step towards the Premier League title.,https://theage.com.au//sport/soccer/city-on-verge-of-epl-title-after-spurs-win-20180415-p4z9p9.html,2018-04-15T04:02:50Z,2018-04-15T01:04:46Z,EPL,[]
744,p4z9e2,Kane is ridiculed by players and fans on social media after lodging goal claim,"Opposition players dished out emojis lampooning the Tottenham striker. Rival fans targeted him on social media with doctored images.

",https://theage.com.au//sport/soccer/kane-is-ridiculed-by-players-and-fans-on-social-media-after-lodging-goal-claim-20180413-p4z9e2.html,2018-04-13T00:31:28Z,2018-04-13T00:31:28Z,EPL,[]
745,p4z8gr,"Hernandez nicks Chelsea draw for West Ham, Arsenal rob Saints of point",Danny Welbeck's second goal of the game has given Arsenal a 3-2 win and cost Southampton a draw as fight they relegation.,https://theage.com.au//sport/soccer/hernandez-nicks-chelsea-draw-for-west-ham-arsenal-rob-saints-of-point-20180409-p4z8gr.html,2018-04-08T22:57:00Z,2018-04-08T15:41:57Z,EPL,[]
746,p4z8dg,ALL HIGHLIGHTS: United come from behind to stall City's EPL title glory,A win for City would have guaranteed the title and they led 2-0 at halftime. The home fans settled into party mode a little early.,https://theage.com.au//sport/soccer/all-highlights-united-come-from-behind-to-stall-city-s-epl-title-glory-20180408-p4z8dg.html,2018-04-08T01:15:20Z,2018-04-08T00:05:15Z,EPL,[]
747,p4z7ch,Spurs break Chelsea hoodoo as Arsenal push Stoke to relegation brink,Tottenham took a massive stride in the race for a top-four finish as Dele Alli struck twice in a 3-1 victory at Chelsea on Sunday.,https://theage.com.au//sport/soccer/spurs-break-chelsea-hoodoo-as-arsenal-push-stoke-to-relegation-brink-20180402-p4z7ch.html,2018-04-01T22:20:47Z,2018-04-01T15:52:08Z,EPL,[]
748,p4z79r,ALL EPL HIGHLIGHTS: City set up Premiership title for Manchester derby,Victory over Manchester United in next Saturday's derby will seal the trophy for Pep Guardiola's runway leader.,https://theage.com.au//sport/soccer/all-epl-highlights-city-set-up-premiership-title-for-manchester-derby-20180401-p4z79r.html,2018-04-01T15:08:24Z,2018-04-01T00:45:45Z,EPL,[]
749,p4z5tf,"Zlatan to leave Manchester United, join LA Galaxy","Zlatan Ibrahimovic has signed a two-year contract with Major League Soccer to leave Manchester United and join the LA Galaxy.
",https://theage.com.au//sport/soccer/zlatan-to-leave-manchester-united-join-la-galaxy-20180323-p4z5tf.html,2018-03-22T21:23:29Z,2018-03-22T21:23:29Z,EPL,[]
750,p4z5f7,It is not inevitable Salah will leave Liverpool,It is not inevitable Salah will leave Liverpool - he has good reason to stay.,https://theage.com.au//sport/soccer/it-is-not-inevitable-salah-will-leave-liverpool-20180321-p4z5f7.html,2018-03-21T00:06:55Z,2018-03-21T00:06:55Z,EPL,[]
751,p4z4ww,EPL Highlights: Salah scores four as Liverpool thrash Watford,"Mohamed Salah put one hand on the golden boot on Saturday, scoring four goals as Liverpool thumped Watford.",https://theage.com.au//sport/soccer/epl-highlights-salah-scores-four-as-liverpool-thrash-watford-20180318-p4z4ww.html,2018-03-17T23:21:02Z,2018-03-17T22:11:22Z,EPL,[]
